Boston Celtics,Rajon Rondo,12.9,boston
Boston Celtics,Gerald Wallace,10.1,boston
Broklyn Nets,Joe Johnson,23.2,new york city
Broklyn Nets,Deron Williams,19.8,new york city
Broklyn Nets,Brook Lopez,15.7,new york city
Broklyn Nets,Kevin Garnett,12,new york city
Charlotte Hornets,AI Jefferson,13.5,charlotte
Chicago Bulls,Derrick Rose,18.9,chicago
Chicago Bulls,Joakim Noah,12.7,chicago
Cleveland Cavaliers,Lebron James,20.6,cleveland
Cleveland Cavaliers,Kevin Love,15.7,cleveland
Dallas Mavericks,Chandler Parsons,14.7,dallas
Dallas Mavericks,Tyson Chandler,14.6,dallas
Denver Nuggets,Ty Lawson,11.6,denver
Denver Nuggets,JaVale McGee,11.3,denver
Denver Nuggets,Danilo Gallinari,10.9,denver
Detroit Pistons,Josh Smith,14,detroit
Golden State Warriors,David Lee,15,oklahoma
Golden State Warriors,Andrew Bogut,13,oklahoma
Golden State Warriors,Andre Iguodala,12.3,oklahoma
Houston Rockets,Dwight Howard,21.4,houston
Houston Rockets,Jame Harden,14.7,houston
Indiana Pacers,Paul George,15.8,indianapolis
Indiana Pacers,Roy Hibbert,14.9,indianapolis
Indiana Pacers,David West,12,indianapolis
Los Angeles Clippers,Chris Paul,20.1,los angeles
Los Angeles Clippers,Blake Griffin,17.6,los angeles
Los Angeles Clippers,DeAndre Jordan,11.4,los angeles
Los Angeles Lakers,Kobe Bryant,23.5,los angeles
Los Angeles Lakers,Jeremy Lin,14.9,los angeles
Memphis Grizzlies,Zach Randolph,16.5,memphis
Memphis Grizzlies,Marc Gasol,15.8,memphis
Miami Heat,Chris Bosh,20.6,miami
Miami Heat,Dwyane Wade,15,miami
Milwaukee Bucks,Larry Sanders,11,milwaukee
Minnesota TimberWolves,Nikola Pekovic,12.1,minneapolis
New Orleans Pelicans,Omer Asik,14.9,new orleans
New Orleans Pelicans,Eric Gordon,14.9,new orleans
New Orleans Pelicans,Tyreke Evans,11.2,new orleans
New Orleans Pelicans,Jrue Holiday,11,new orleans
New York Knicks,Amare Stoudemire,23.4,new york city
New York Knicks,Carmelo Anthony,22.5,new york city
New York Knicks,Andrea Bargnani,12,new york city
Oklahoma City Thunder,Kevin Durant,20,oklahoma
Oklahoma City Thunder,Russell Westbrook,15.7,oklahoma
Oklahoma City Thunder,Serge Ibaka,12.3,oklahoma
Phoenix Suns,Eric Bledsoe,13,phoenix
Portland Trail Blazers,LaMarcus Aldridge,15.2,portland
Portland Trail Blazers,Brandon Roy,14.4,portland
Portland Trail Blazers,Nicolas Batum,11.4,portland
Sacramento Kings,Rudy Gay,19.3,sacramento
Sacramento Kings,DeMarcus Cousins,13.7,sacramento
San Antonio Spurs,Tony Parker,12.5,san antonio
San Antonio Spurs,Tim Duncan,10.4,san antonio
Toronto Raptors,Kyle Lowry,12,toronto
Utah Jazz,Gordon Hayward,14.7,salt lake city
Utah Jazz,Derrick Favors,13,salt lake city
Washington Wizards,John Wass,13.7,washington
Washington Wizards,Nene,13,washington d.c.
Washington Wizards,Marcin Gortat,10.4,washington d.c.
